S.no,Statement,Status
1,oh my gosh,Anxiety
2,"trouble sleeping, confused mind, restless heart. All out of tune",Anxiety
3,"All wrong, back off dear, forward doubt. Stay in a restless place",Anxiety
4,I've shifted my focus to something else but I'm still worried,Anxiety
5,"I'm restless and restless, it's been a month now, boy. What do you mean?",Anxiety
6,"every break, you must be nervous, like something is wrong, but what the heck",Anxiety
7,"I feel scared, anxious, what can I do? And may my family or us be protected :)",Anxiety
8,Have you ever felt nervous but didn't know why?,Anxiety
9,"I haven't slept well for 2 days, it's like I'm restless. why huh :(",Anxiety
10,"I'm really worried, I want to cry",Anxiety
11,"always restless every night, even though I don't know why, what's wrong. Strange",Anxiety
12,"I'm confused, I'm not feeling good lately. Every time I want to sleep, I always feel restless",Anxiety
13,"sometimes what is needed when there is a problem is to laugh until you forget that there is a problem, when you remember it, you feel restless like that well, it turns out that I still have a sad burden",Anxiety
14,Because this worry is you,Anxiety
15,Sometimes it's your own thoughts that make you anxious and afraid to close your eyes until you don't sleep,Anxiety
16,"Every time I wake up, I'm definitely nervous and excited, until when are you going to cry",Anxiety
17,"I can only hope, even though I'm worried if it starts like this",Anxiety
18,restive = restless,Anxiety
19,"No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity",Anxiety
20,"If the guy is sick, the girl actually feels sick indirectly. He must be feeling restless and restless. :')",Anxiety
21,"I've been the most anxious person before I became the most sincere person, I've also been the most worried person before it all ended",Anxiety
22,Successfully online at 9am. Even sleeping in a state of restlessness what is wrong with me,Anxiety
23,Can't sleep. Just restless by nature,Anxiety
24,Already worried about picking up the phone,Anxiety
25,"a little restless, always feel guilty. sorry if i can't be the best as i've been :'",Anxiety
26,I've been so restless since this morning,Anxiety
27,it makes me feel restless,Anxiety
28,Sleepy but restless when you sleep,Anxiety
29,Why is this happening... I'm already in a bad mood and then my heart seems to be beating really fast... I'm really nervous. Is there something wrong???,Anxiety
30,"He is very busy, He is restless, geez, what's going on?",Anxiety
31,"I'm broken and fragile, I'm hurt, I can't stand the anxiety anymore, I can't stand the love. Until now I was ignored, not seen, even left far away. I'm not like what he wants, so I'll just step back.",Anxiety
32,"Suggest a song that makes you calm, don't know why suddenly this feeling of anger / restlessness appears. Thanks!",Anxiety
33,Too nervous,Anxiety
34,why today's heart doesn't feel good?jealous?anxious?disappointed?feeling failed?,Anxiety
35,It's a habit from elementary school if I think about something I'll get worried I can't sleep,Anxiety
36,"Since yesterday, I have not been in the mood, very sensitive, always surprised and surprises every day almost make my brain explode, everyone is the target of ups and downs in mood.",Anxiety
37,"Tonight he continues to chatter about money, I'm so confused what to do. Once he said don't worry about money, but he kept blabbering about money.",Anxiety
38,Feeling so restless lately,Anxiety
39,Oh god I'm restless,Anxiety
40,but my heart is still restless even though my mouth is talking,Anxiety
41,"waiting for uncertainty, please be anxious",Anxiety
42,"been the most anxious person, before becoming the most sincere person",Anxiety
43,"Did you ever read it in real life, I mean the atmosphere, the taste. It's because I'm like this. when I read about mental illness, my days became restless....and now I'm scared.",Anxiety
44,"Hi, Lately I've been feeling restless, have trouble sleeping, I searched on google it says it's a mild symptom of depression, I used to tell my mom when I have frequent irregular breathing.",Anxiety
45,"I've been feeling restless for the past few days, now I'm nauseous.",Anxiety
46,"Oh no I'm restless. The time will come to walk with Jesus. Every time I sing a song I don't know, I always want to cry . Because I sing it but I don't do it . Sorry God I worry too much.",Anxiety
47,Controlling anxiety is not as easy as it sounds.,Anxiety
48,"Since the pandemic, I haven't opened my laptop for a day, I feel restless, I have a very heavy life load",Anxiety
49,People who are restless and afraid can be seen from the frequent touching of the face and ringing the fingers.,Anxiety
50,"I don't know if my mind breaks down, but I don't want to think about it :( , why do I feel restless?",Anxiety
51,Sensitive feelings make the heart restless.,Anxiety
52,"Let's not be nervous, how about being happy",Anxiety
53,"after being confessed, I'm really nervous",Anxiety
54,Restless.. and.. restless..,Anxiety
55,"This is the first time I've had an anxiety disorder in my sleep, and it wasn't really good. Even though I'm not thinking about anything, but I'm restless",Anxiety
56,It's been a week I feel restless and my head feels full. I want to rest while I sleep,Anxiety
57,why am I nervous?,Anxiety
58,"Anxious and afraid of war, economic crisis, air pollution, disease outbreaks, clean water, etc. When are you happy?",Anxiety
59,oh my god why are you so nervous,Anxiety
60,feelings of restlessness have started to appear,Anxiety
61,Very restless,Anxiety
62,"The days are full of restlessness, with income that doesn't know the direction..Hopefully we can always get what we need and be given the advantage for a desire",Anxiety
63,Been an hour I woke up and the restless is here even after good thoughts ,Anxiety
64,"Lately everything has been all of a sudden, happy, sad, anxious, relaxed, excited, lethargic, etc. I really don't like everything that is impromptu, yes, but what can I do? Ha ha ha",Anxiety
65,"I'm so sorry, but can you give me words of encouragement or not? I'm really worried that I can't make my kids happy.",Anxiety
66,I don't like worrying.,Anxiety
67,"When you're not online, there is a heart that is anxiously waiting to hear from you",Anxiety
68,nervous and restless,Anxiety
69,I'm nervous I don't know why. I don't feel calm,Anxiety
70,"Sometimes I can't even rest. Always worried, worried about this, even though I'm tired",Anxiety
71,It feels uneasy.,Anxiety
72,"I'm so restless, I don't know why",Anxiety
73,"Day by day that hope grows, the closer I feel, the more I expect from you, and sometimes I get anxious because of it. To the point that I became worried, worried that it would disturb my hopes.",Anxiety
74,"Urmi has a fever, I'm already sad and restless.. What's more, this little girl has a fever, ha ha ha",Anxiety
75,"How many days have you been feeling restless at night and in the afternoon your mind is empty, why?",Anxiety
76,"From now on, it's not really good, being restless is tired by nature",Anxiety
77,"I haven't slept yet, and now my head hurts so bad. I'm sleepy, but I can't sleep, I've tried to brake but I'm restless ",Anxiety
78,Too anxious. Too worried. Too scared,Anxiety
79,Restless and agitated.,Anxiety
80,There will always be calm in the midst of restlessness,Anxiety
81,"dismayed = disappointed, anxious",Anxiety
82,This is why my heart is beating so fast. Very restless. But I don't know what I'm worried about. It's a great feeling.....,Anxiety
83,More restless. Hopefully those who are there are okay.... Oh Allah protect him..... Amen,Anxiety
84,"If my friends have replied to my tweet that has an opinion, I'm worried",Anxiety
85,"I'm hungry, weak, lethargic, restless.",Anxiety
86,Sudden restlessness. Why are you..,Anxiety
87,"Sleeps 3 hours, rest restless. Try a variety of positions and ways never fall asleep. I really need to be able to control this mind.",Anxiety
88,"Stop! I'm feeling anxious, too much anxiety to bear. Not again.",Anxiety
89,Anxious,Anxiety
90,It's so restless work,Anxiety
91,"Is there anyone who, when sick, can't sleep well, but sleeps restlessly?",Anxiety
92,Please worry until you want to cry,Anxiety
